date,Maurermeister,isPartial
2018-01-07,72,False
2018-01-14,54,False
2018-01-21,78,False
2018-01-28,60,False
2018-02-04,67,False
2018-02-11,37,False
2018-02-18,67,False
2018-02-25,36,False
2018-03-04,36,False
2018-03-11,36,False
2018-03-18,30,False
2018-03-25,45,False
2018-04-01,45,False
2018-04-08,87,False
2018-04-15,51,False
2018-04-22,73,False
2018-04-29,51,False
2018-05-06,64,False
2018-05-13,67,False
2018-05-20,39,False
2018-05-27,50,False
2018-06-03,74,False
2018-06-10,80,False
2018-06-17,84,False
2018-06-24,56,False
2018-07-01,73,False
2018-07-08,55,False
2018-07-15,44,False
2018-07-22,95,False
2018-07-29,32,False
2018-08-05,81,False
2018-08-12,45,False
2018-08-19,82,False
2018-08-26,81,False
2018-09-02,68,False
2018-09-09,49,False
2018-09-16,49,False
2018-09-23,43,False
2018-09-30,55,False
2018-10-07,67,False
2018-10-14,37,False
2018-10-21,48,False
2018-10-28,36,False
2018-11-04,58,False
2018-11-11,54,False
2018-11-18,46,False
2018-11-25,53,False
2018-12-02,47,False
2018-12-09,53,False
2018-12-16,30,False
2018-12-23,42,False
2018-12-30,38,False
2019-01-06,56,False
2019-01-13,100,False
2019-01-20,58,False
2019-01-27,78,False
2019-02-03,51,False
2019-02-10,52,False
2019-02-17,58,False
2019-02-24,59,False
2019-03-03,68,False
2019-03-10,56,False
2019-03-17,82,False
2019-03-24,64,False
2019-03-31,53,False
2019-04-07,86,False
2019-04-14,70,False
2019-04-21,61,False
2019-04-28,69,False
2019-05-05,93,False
2019-05-12,35,False
2019-05-19,46,False
2019-05-26,35,False
2019-06-02,57,False
2019-06-09,80,False
2019-06-16,62,False
2019-06-23,53,False
2019-06-30,26,False
2019-07-07,46,False
2019-07-14,48,False
2019-07-21,44,False
2019-07-28,37,False
2019-08-04,62,False
2019-08-11,64,False
2019-08-18,24,False
2019-08-25,93,False
2019-09-01,68,False
2019-09-08,75,False
2019-09-15,75,False
2019-09-22,73,False
2019-09-29,60,False
2019-10-06,67,False
2019-10-13,42,False
2019-10-20,50,False
2019-10-27,44,False
2019-11-03,26,False
2019-11-10,48,False
2019-11-17,16,False
2019-11-24,47,False
2019-12-01,65,False
2019-12-08,54,False
2019-12-15,49,False
2019-12-22,38,False
2019-12-29,44,False
2020-01-05,47,False
2020-01-12,75,False
2020-01-19,62,False
2020-01-26,51,False
2020-02-02,56,False
2020-02-09,30,False
2020-02-16,88,False
2020-02-23,35,False
2020-03-01,60,False
2020-03-08,28,False
2020-03-15,37,False
2020-03-22,46,False
2020-03-29,50,False
2020-04-05,40,False
2020-04-12,39,False
2020-04-19,42,False
2020-04-26,27,False
2020-05-03,83,False
2020-05-10,61,False
