geoName,geoCode,Glaserei
Baden-Württemberg,DE-BW,32
Bavaria,DE-BY,86
Berlin,DE-BE,74
Brandenburg,DE-BB,82
Bremen,DE-HB,74
Hamburg,DE-HH,84
Hesse,DE-HE,41
Lower Saxony,DE-NI,61
Mecklenburg-Vorpommern,DE-MV,82
North Rhine-Westphalia,DE-NW,47
Rhineland-Palatinate,DE-RP,36
Saarland,DE-SL,20
Saxony,DE-SN,56
Saxony-Anhalt,DE-ST,53
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,50
