geoName,geoCode,Massivhaus
Baden-Württemberg,DE-BW,36
Bavaria,DE-BY,42
Berlin,DE-BE,49
Brandenburg,DE-BB,71
Bremen,DE-HB,10
Hamburg,DE-HH,49
Hesse,DE-HE,35
Lower Saxony,DE-NI,39
Mecklenburg-Vorpommern,DE-MV,88
North Rhine-Westphalia,DE-NW,30
Rhineland-Palatinate,DE-RP,69
Saarland,DE-SL,46
Saxony,DE-SN,47
Saxony-Anhalt,DE-ST,33
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,35
