geoName,geoCode,Acustica
Abruzzo,IT-65,75
Aosta,IT-23,72
Apulia,IT-75,59
Basilicata,IT-77,100
Calabria,IT-78,56
Campania,IT-72,74
Emilia-Romagna,IT-45,56
Friuli-Venezia Giulia,IT-36,75
Lazio,IT-62,62
Liguria,IT-42,48
Lombardy,IT-25,61
Marche,IT-57,53
Molise,IT-67,56
Piedmont,IT-21,62
Sardinia,IT-88,81
Sicily,IT-82,57
Trentino-Alto Adige/South Tyrol,IT-32,56
Tuscany,IT-52,65
Umbria,IT-55,64
Veneto,IT-34,59
