,geoName,atelier dessin
3,Brittany,100.0
5,Centre-Val de Loire,35.0
7,Corsica,0.0
15,Pays de la Loire,37.0
18,Provence-Alpes-Côte d'Azur,21.0
21,Île-de-France,54.0
22,Grand-est,0.0
23,Hauts-de-france,39.5
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,16.333333333333332
27,Occitanie,59.5
28,Auvergne-Rhône-Alpes,18.0
