geoName,geoCode,Lebensmittellieferung
Baden-Württemberg,DE-BW,18
Bavaria,DE-BY,43
Berlin,DE-BE,44
Brandenburg,DE-BB,45
Bremen,DE-HB,0
Hamburg,DE-HH,63
Hesse,DE-HE,24
Lower Saxony,DE-NI,38
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,38
Rhineland-Palatinate,DE-RP,72
Saarland,DE-SL,0
Saxony,DE-SN,49
Saxony-Anhalt,DE-ST,56
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,56
