date,Elektro,isPartial
2018-01-07,66,False
2018-01-14,53,False
2018-01-21,74,False
2018-01-28,82,False
2018-02-04,63,False
2018-02-11,36,False
2018-02-18,35,False
2018-02-25,54,False
2018-03-04,69,False
2018-03-11,45,False
2018-03-18,73,False
2018-03-25,44,False
2018-04-01,43,False
2018-04-08,55,False
2018-04-15,51,False
2018-04-22,40,False
2018-04-29,66,False
2018-05-06,57,False
2018-05-13,63,False
2018-05-20,55,False
2018-05-27,64,False
2018-06-03,58,False
2018-06-10,45,False
2018-06-17,76,False
2018-06-24,57,False
2018-07-01,26,False
2018-07-08,48,False
2018-07-15,71,False
2018-07-22,69,False
2018-07-29,44,False
2018-08-05,66,False
2018-08-12,53,False
2018-08-19,60,False
2018-08-26,58,False
2018-09-02,61,False
2018-09-09,94,False
2018-09-16,39,False
2018-09-23,33,False
2018-09-30,80,False
2018-10-07,59,False
2018-10-14,76,False
2018-10-21,65,False
2018-10-28,70,False
2018-11-04,84,False
2018-11-11,89,False
2018-11-18,73,False
2018-11-25,99,False
2018-12-02,76,False
2018-12-09,79,False
2018-12-16,57,False
2018-12-23,18,False
2018-12-30,35,False
2019-01-06,56,False
2019-01-13,65,False
2019-01-20,32,False
2019-01-27,55,False
2019-02-03,51,False
2019-02-10,73,False
2019-02-17,54,False
2019-02-24,62,False
2019-03-03,50,False
2019-03-10,42,False
2019-03-17,43,False
2019-03-24,58,False
2019-03-31,47,False
2019-04-07,41,False
2019-04-14,45,False
2019-04-21,69,False
2019-04-28,80,False
2019-05-05,60,False
2019-05-12,50,False
2019-05-19,76,False
2019-05-26,40,False
2019-06-02,73,False
2019-06-09,59,False
2019-06-16,48,False
2019-06-23,59,False
2019-06-30,77,False
2019-07-07,58,False
2019-07-14,56,False
2019-07-21,38,False
2019-07-28,63,False
2019-08-04,87,False
2019-08-11,49,False
2019-08-18,61,False
2019-08-25,68,False
2019-09-01,47,False
2019-09-08,82,False
2019-09-15,88,False
2019-09-22,85,False
2019-09-29,94,False
2019-10-06,84,False
2019-10-13,56,False
2019-10-20,77,False
2019-10-27,64,False
2019-11-03,73,False
2019-11-10,84,False
2019-11-17,68,False
2019-11-24,76,False
2019-12-01,68,False
2019-12-08,65,False
2019-12-15,81,False
2019-12-22,35,False
2019-12-29,46,False
2020-01-05,70,False
2020-01-12,41,False
2020-01-19,49,False
2020-01-26,67,False
2020-02-02,44,False
2020-02-09,84,False
2020-02-16,64,False
2020-02-23,64,False
2020-03-01,82,False
2020-03-08,68,False
2020-03-15,81,False
2020-03-22,63,False
2020-03-29,39,False
2020-04-05,57,False
2020-04-12,93,False
2020-04-19,64,False
2020-04-26,63,False
2020-05-03,89,False
2020-05-10,46,False
2020-05-17,100,False
2020-05-24,76,False
2020-05-31,74,False
2020-06-07,50,False
2020-06-14,83,False
2020-06-21,64,False
2020-06-28,61,False
2020-07-05,73,False
