geoName,geoCode,Elektro
Burgenland,AT-1,78
Carinthia,AT-2,78
Lower Austria,AT-3,76
Salzburg,AT-5,82
Styria,AT-6,75
Tyrol,AT-7,77
Upper Austria,AT-4,78
Vienna,AT-9,61
Vorarlberg,AT-8,100
