geoName,geoCode,videomaker
Abruzzo,IT-65,49
Aosta,IT-23,0
Apulia,IT-75,34
Basilicata,IT-77,0
Calabria,IT-78,66
Campania,IT-72,55
Emilia-Romagna,IT-45,42
Friuli-Venezia Giulia,IT-36,28
Lazio,IT-62,41
Liguria,IT-42,30
Lombardy,IT-25,36
Marche,IT-57,68
Molise,IT-67,0
Piedmont,IT-21,42
Sardinia,IT-88,16
Sicily,IT-82,30
Trentino-Alto Adige/South Tyrol,IT-32,42
Tuscany,IT-52,35
Umbria,IT-55,100
Veneto,IT-34,39
