geoName,geoCode,Mago
Andalusia,ES-AN,59
Aragon,ES-AR,59
Asturias,ES-AS,59
Balearic Islands,ES-IB,52
Basque Country,ES-PV,59
Canary Islands,ES-CN,59
Cantabria,ES-CB,56
Castile and León,ES-CL,69
Castile-La Mancha,ES-CM,66
Catalonia,ES-CT,100
Ceuta,ES-CE,51
Community of Madrid,ES-MD,69
Extremadura,ES-EX,73
Galicia,ES-GA,65
La Rioja,ES-RI,76
Melilla,ES-ML,75
Navarre,ES-NC,58
Region of Murcia,ES-MC,64
Valencian Community,ES-VC,68
