geoName,geoCode,Hausmeisterdienste
Baden-Württemberg,DE-BW,28
Bavaria,DE-BY,23
Berlin,DE-BE,51
Brandenburg,DE-BB,91
Bremen,DE-HB,0
Hamburg,DE-HH,55
Hesse,DE-HE,32
Lower Saxony,DE-NI,47
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,41
Rhineland-Palatinate,DE-RP,32
Saarland,DE-SL,0
Saxony,DE-SN,100
Saxony-Anhalt,DE-ST,75
Schleswig-Holstein,DE-SH,45
Thuringia,DE-TH,75
