geoName,geoCode,abiti sposa
Abruzzo,IT-65,61
Aosta,IT-23,53
Apulia,IT-75,83
Basilicata,IT-77,81
Calabria,IT-78,90
Campania,IT-72,62
Emilia-Romagna,IT-45,56
Friuli-Venezia Giulia,IT-36,48
Lazio,IT-62,59
Liguria,IT-42,60
Lombardy,IT-25,59
Marche,IT-57,61
Molise,IT-67,100
Piedmont,IT-21,56
Sardinia,IT-88,82
Sicily,IT-82,89
Trentino-Alto Adige/South Tyrol,IT-32,25
Tuscany,IT-52,53
Umbria,IT-55,39
Veneto,IT-34,53
