geoName,geoCode,Canzoni Bimbi
Abruzzo,IT-65,45
Aosta,IT-23,0
Apulia,IT-75,35
Basilicata,IT-77,65
Calabria,IT-78,95
Campania,IT-72,42
Emilia-Romagna,IT-45,30
Friuli-Venezia Giulia,IT-36,19
Lazio,IT-62,25
Liguria,IT-42,21
Lombardy,IT-25,26
Marche,IT-57,17
Molise,IT-67,100
Piedmont,IT-21,29
Sardinia,IT-88,27
Sicily,IT-82,33
Trentino-Alto Adige/South Tyrol,IT-32,11
Tuscany,IT-52,16
Umbria,IT-55,40
Veneto,IT-34,19
