geoName,geoCode,hochzeitsfotograf
Baden-Württemberg,DE-BW,48
Bavaria,DE-BY,41
Berlin,DE-BE,41
Brandenburg,DE-BB,45
Bremen,DE-HB,46
Hamburg,DE-HH,42
Hesse,DE-HE,56
Lower Saxony,DE-NI,35
Mecklenburg-Vorpommern,DE-MV,67
North Rhine-Westphalia,DE-NW,52
Rhineland-Palatinate,DE-RP,54
Saarland,DE-SL,57
Saxony,DE-SN,50
Saxony-Anhalt,DE-ST,19
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,54
