geoName,geoCode,Möbelpacker
Baden-Württemberg,DE-BW,21
Bavaria,DE-BY,17
Berlin,DE-BE,45
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,37
Hesse,DE-HE,22
Lower Saxony,DE-NI,34
Mecklenburg-Vorpommern,DE-MV,69
North Rhine-Westphalia,DE-NW,27
Rhineland-Palatinate,DE-RP,36
Saarland,DE-SL,0
Saxony,DE-SN,55
Saxony-Anhalt,DE-ST,50
Schleswig-Holstein,DE-SH,30
Thuringia,DE-TH,100
