date,club,isPartial
2018-01-07,71,False
2018-01-14,75,False
2018-01-21,74,False
2018-01-28,79,False
2018-02-04,85,False
2018-02-11,84,False
2018-02-18,77,False
2018-02-25,73,False
2018-03-04,73,False
2018-03-11,84,False
2018-03-18,70,False
2018-03-25,69,False
2018-04-01,80,False
2018-04-08,74,False
2018-04-15,78,False
2018-04-22,82,False
2018-04-29,77,False
2018-05-06,79,False
2018-05-13,77,False
2018-05-20,79,False
2018-05-27,75,False
2018-06-03,81,False
2018-06-10,83,False
2018-06-17,83,False
2018-06-24,85,False
2018-07-01,93,False
2018-07-08,89,False
2018-07-15,93,False
2018-07-22,90,False
2018-07-29,96,False
2018-08-05,97,False
2018-08-12,90,False
2018-08-19,92,False
2018-08-26,83,False
2018-09-02,76,False
2018-09-09,80,False
2018-09-16,75,False
2018-09-23,68,False
2018-09-30,68,False
2018-10-07,65,False
2018-10-14,65,False
2018-10-21,66,False
2018-10-28,69,False
2018-11-04,73,False
2018-11-11,65,False
2018-11-18,59,False
2018-11-25,69,False
2018-12-02,68,False
2018-12-09,65,False
2018-12-16,69,False
2018-12-23,82,False
2018-12-30,73,False
2019-01-06,67,False
2019-01-13,71,False
2019-01-20,71,False
2019-01-27,78,False
2019-02-03,74,False
2019-02-10,67,False
2019-02-17,78,False
2019-02-24,78,False
2019-03-03,76,False
2019-03-10,78,False
2019-03-17,76,False
2019-03-24,77,False
2019-03-31,82,False
2019-04-07,86,False
2019-04-14,75,False
2019-04-21,79,False
2019-04-28,84,False
2019-05-05,75,False
2019-05-12,68,False
2019-05-19,79,False
2019-05-26,75,False
2019-06-02,88,False
2019-06-09,95,False
2019-06-16,93,False
2019-06-23,89,False
2019-06-30,94,False
2019-07-07,93,False
2019-07-14,84,False
2019-07-21,100,False
2019-07-28,82,False
2019-08-04,97,False
2019-08-11,95,False
2019-08-18,90,False
2019-08-25,77,False
2019-09-01,81,False
2019-09-08,79,False
2019-09-15,77,False
2019-09-22,65,False
2019-09-29,66,False
2019-10-06,68,False
2019-10-13,71,False
2019-10-20,66,False
2019-10-27,75,False
2019-11-03,59,False
2019-11-10,67,False
2019-11-17,63,False
2019-11-24,65,False
2019-12-01,60,False
2019-12-08,63,False
2019-12-15,80,False
2019-12-22,68,False
2019-12-29,73,False
2020-01-05,65,False
2020-01-12,65,False
2020-01-19,65,False
2020-01-26,65,False
2020-02-02,70,False
2020-02-09,71,False
2020-02-16,67,False
2020-02-23,55,False
2020-03-01,60,False
2020-03-08,36,False
2020-03-15,34,False
2020-03-22,37,False
2020-03-29,35,False
2020-04-05,41,False
2020-04-12,37,False
2020-04-19,34,False
2020-04-26,35,True
