date,club,isPartial
2018-01-07,39,False
2018-01-14,46,False
2018-01-21,85,False
2018-01-28,67,False
2018-02-04,77,False
2018-02-11,65,False
2018-02-18,54,False
2018-02-25,71,False
2018-03-04,52,False
2018-03-11,71,False
2018-03-18,44,False
2018-03-25,53,False
2018-04-01,87,False
2018-04-08,50,False
2018-04-15,74,False
2018-04-22,45,False
2018-04-29,53,False
2018-05-06,45,False
2018-05-13,66,False
2018-05-20,54,False
2018-05-27,50,False
2018-06-03,51,False
2018-06-10,49,False
2018-06-17,41,False
2018-06-24,45,False
2018-07-01,66,False
2018-07-08,41,False
2018-07-15,54,False
2018-07-22,83,False
2018-07-29,100,False
2018-08-05,95,False
2018-08-12,56,False
2018-08-19,41,False
2018-08-26,70,False
2018-09-02,43,False
2018-09-09,57,False
2018-09-16,49,False
2018-09-23,24,False
2018-09-30,46,False
2018-10-07,25,False
2018-10-14,41,False
2018-10-21,52,False
2018-10-28,45,False
2018-11-04,58,False
2018-11-11,34,False
2018-11-18,37,False
2018-11-25,62,False
2018-12-02,63,False
2018-12-09,63,False
2018-12-16,49,False
2018-12-23,50,False
2018-12-30,59,False
2019-01-06,72,False
2019-01-13,47,False
2019-01-20,34,False
2019-01-27,37,False
2019-02-03,55,False
2019-02-10,70,False
2019-02-17,45,False
2019-02-24,51,False
2019-03-03,46,False
2019-03-10,63,False
2019-03-17,35,False
2019-03-24,56,False
2019-03-31,73,False
2019-04-07,53,False
2019-04-14,46,False
2019-04-21,61,False
2019-04-28,49,False
2019-05-05,38,False
2019-05-12,42,False
2019-05-19,59,False
2019-05-26,35,False
2019-06-02,62,False
2019-06-09,56,False
2019-06-16,68,False
2019-06-23,64,False
2019-06-30,62,False
2019-07-07,56,False
2019-07-14,52,False
2019-07-21,72,False
2019-07-28,50,False
2019-08-04,80,False
2019-08-11,54,False
2019-08-18,48,False
2019-08-25,27,False
2019-09-01,54,False
2019-09-08,51,False
2019-09-15,44,False
2019-09-22,52,False
2019-09-29,60,False
2019-10-06,37,False
2019-10-13,30,False
2019-10-20,36,False
2019-10-27,49,False
2019-11-03,54,False
2019-11-10,36,False
2019-11-17,45,False
2019-11-24,46,False
2019-12-01,55,False
2019-12-08,34,False
2019-12-15,50,False
2019-12-22,59,False
2019-12-29,50,False
2020-01-05,67,False
2020-01-12,29,False
2020-01-19,48,False
2020-01-26,49,False
2020-02-02,49,False
2020-02-09,41,False
2020-02-16,39,False
2020-02-23,31,False
2020-03-01,46,False
2020-03-08,47,False
2020-03-15,18,False
2020-03-22,16,False
2020-03-29,30,False
2020-04-05,22,False
2020-04-12,28,False
2020-04-19,36,False
2020-04-26,23,True
