geoName,geoCode,Musica Italiana
Abruzzo,IT-65,65
Aosta,IT-23,0
Apulia,IT-75,65
Basilicata,IT-77,60
Calabria,IT-78,73
Campania,IT-72,61
Emilia-Romagna,IT-45,48
Friuli-Venezia Giulia,IT-36,49
Lazio,IT-62,58
Liguria,IT-42,59
Lombardy,IT-25,46
Marche,IT-57,52
Molise,IT-67,60
Piedmont,IT-21,43
Sardinia,IT-88,81
Sicily,IT-82,100
Trentino-Alto Adige/South Tyrol,IT-32,47
Tuscany,IT-52,51
Umbria,IT-55,43
Veneto,IT-34,51
