geoName,geoCode,Anbau
Burgenland,AT-1,72
Carinthia,AT-2,86
Lower Austria,AT-3,98
Salzburg,AT-5,100
Styria,AT-6,91
Tyrol,AT-7,76
Upper Austria,AT-4,86
Vienna,AT-9,56
Vorarlberg,AT-8,61
