date,Anbau,isPartial
2018-01-07,36,False
2018-01-14,35,False
2018-01-21,48,False
2018-01-28,41,False
2018-02-04,45,False
2018-02-11,38,False
2018-02-18,45,False
2018-02-25,28,False
2018-03-04,28,False
2018-03-11,38,False
2018-03-18,31,False
2018-03-25,49,False
2018-04-01,54,False
2018-04-08,55,False
2018-04-15,63,False
2018-04-22,79,False
2018-04-29,56,False
2018-05-06,56,False
2018-05-13,72,False
2018-05-20,44,False
2018-05-27,50,False
2018-06-03,32,False
2018-06-10,49,False
2018-06-17,34,False
2018-06-24,49,False
2018-07-01,26,False
2018-07-08,40,False
2018-07-15,30,False
2018-07-22,41,False
2018-07-29,65,False
2018-08-05,57,False
2018-08-12,25,False
2018-08-19,24,False
2018-08-26,34,False
2018-09-02,27,False
2018-09-09,35,False
2018-09-16,29,False
2018-09-23,40,False
2018-09-30,60,False
2018-10-07,35,False
2018-10-14,19,False
2018-10-21,35,False
2018-10-28,54,False
2018-11-04,44,False
2018-11-11,13,False
2018-11-18,35,False
2018-11-25,38,False
2018-12-02,26,False
2018-12-09,23,False
2018-12-16,16,False
2018-12-23,15,False
2018-12-30,39,False
2019-01-06,27,False
2019-01-13,36,False
2019-01-20,34,False
2019-01-27,31,False
2019-02-03,37,False
2019-02-10,29,False
2019-02-17,41,False
2019-02-24,56,False
2019-03-03,48,False
2019-03-10,55,False
2019-03-17,55,False
2019-03-24,72,False
2019-03-31,66,False
2019-04-07,56,False
2019-04-14,33,False
2019-04-21,61,False
2019-04-28,78,False
2019-05-05,63,False
2019-05-12,42,False
2019-05-19,49,False
2019-05-26,47,False
2019-06-02,53,False
2019-06-09,41,False
2019-06-16,38,False
2019-06-23,41,False
2019-06-30,54,False
2019-07-07,40,False
2019-07-14,27,False
2019-07-21,38,False
2019-07-28,26,False
2019-08-04,40,False
2019-08-11,50,False
2019-08-18,38,False
2019-08-25,58,False
2019-09-01,17,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,54,False
2019-09-29,35,False
2019-10-06,26,False
2019-10-13,38,False
2019-10-20,43,False
2019-10-27,33,False
2019-11-03,49,False
2019-11-10,37,False
2019-11-17,19,False
2019-11-24,25,False
2019-12-01,21,False
2019-12-08,23,False
2019-12-15,21,False
2019-12-22,37,False
2019-12-29,36,False
2020-01-05,25,False
2020-01-12,44,False
2020-01-19,43,False
2020-01-26,58,False
2020-02-02,38,False
2020-02-09,43,False
2020-02-16,49,False
2020-02-23,35,False
2020-03-01,48,False
2020-03-08,30,False
2020-03-15,59,False
2020-03-22,77,False
2020-03-29,60,False
2020-04-05,100,False
2020-04-12,94,False
2020-04-19,97,False
2020-04-26,89,False
2020-05-03,64,False
2020-05-10,90,False
2020-05-17,95,False
2020-05-24,71,False
2020-05-31,38,False
2020-06-07,53,False
2020-06-14,49,False
2020-06-21,34,False
2020-06-28,45,False
2020-07-05,43,False
