geoName,geoCode,Nutricionista
Andalusia,ES-AN,64
Aragon,ES-AR,75
Asturias,ES-AS,76
Balearic Islands,ES-IB,81
Basque Country,ES-PV,100
Canary Islands,ES-CN,68
Cantabria,ES-CB,73
Castile and León,ES-CL,66
Castile-La Mancha,ES-CM,63
Catalonia,ES-CT,64
Ceuta,ES-CE,0
Community of Madrid,ES-MD,74
Extremadura,ES-EX,48
Galicia,ES-GA,68
La Rioja,ES-RI,45
Melilla,ES-ML,0
Navarre,ES-NC,62
Region of Murcia,ES-MC,69
Valencian Community,ES-VC,68
