date,Nutricionista,isPartial
2018-01-07,60,False
2018-01-14,65,False
2018-01-21,62,False
2018-01-28,51,False
2018-02-04,42,False
2018-02-11,51,False
2018-02-18,62,False
2018-02-25,55,False
2018-03-04,57,False
2018-03-11,52,False
2018-03-18,55,False
2018-03-25,49,False
2018-04-01,63,False
2018-04-08,39,False
2018-04-15,91,False
2018-04-22,71,False
2018-04-29,79,False
2018-05-06,44,False
2018-05-13,45,False
2018-05-20,42,False
2018-05-27,37,False
2018-06-03,57,False
2018-06-10,46,False
2018-06-17,61,False
2018-06-24,57,False
2018-07-01,34,False
2018-07-08,50,False
2018-07-15,58,False
2018-07-22,28,False
2018-07-29,47,False
2018-08-05,22,False
2018-08-12,47,False
2018-08-19,87,False
2018-08-26,91,False
2018-09-02,65,False
2018-09-09,93,False
2018-09-16,74,False
2018-09-23,78,False
2018-09-30,80,False
2018-10-07,52,False
2018-10-14,37,False
2018-10-21,54,False
2018-10-28,50,False
2018-11-04,48,False
2018-11-11,60,False
2018-11-18,58,False
2018-11-25,46,False
2018-12-02,47,False
2018-12-09,46,False
2018-12-16,23,False
2018-12-23,29,False
2018-12-30,62,False
2019-01-06,59,False
2019-01-13,58,False
2019-01-20,48,False
2019-01-27,62,False
2019-02-03,64,False
2019-02-10,44,False
2019-02-17,63,False
2019-02-24,46,False
2019-03-03,61,False
2019-03-10,57,False
2019-03-17,53,False
2019-03-24,63,False
2019-03-31,62,False
2019-04-07,38,False
2019-04-14,37,False
2019-04-21,67,False
2019-04-28,57,False
2019-05-05,62,False
2019-05-12,100,False
2019-05-19,94,False
2019-05-26,53,False
2019-06-02,83,False
2019-06-09,83,False
2019-06-16,67,False
2019-06-23,60,False
2019-06-30,44,False
2019-07-07,65,False
2019-07-14,50,False
2019-07-21,53,False
2019-07-28,56,False
2019-08-04,52,False
2019-08-11,59,False
2019-08-18,87,False
2019-08-25,56,False
2019-09-01,94,False
2019-09-08,71,False
2019-09-15,74,False
2019-09-22,82,False
2019-09-29,83,False
2019-10-06,49,False
2019-10-13,55,False
2019-10-20,63,False
2019-10-27,27,False
2019-11-03,90,False
2019-11-10,68,False
2019-11-17,43,False
2019-11-24,43,False
2019-12-01,38,False
2019-12-08,34,False
2019-12-15,47,False
2019-12-22,51,False
2019-12-29,72,False
2020-01-05,71,False
2020-01-12,75,False
2020-01-19,44,False
2020-01-26,64,False
2020-02-02,71,False
2020-02-09,67,False
2020-02-16,82,False
2020-02-23,54,False
2020-03-01,41,False
2020-03-08,64,False
2020-03-15,21,False
2020-03-22,37,False
2020-03-29,22,False
2020-04-05,30,False
2020-04-12,22,False
2020-04-19,31,False
2020-04-26,33,False
2020-05-03,44,False
2020-05-10,64,False
2020-05-17,61,True
