,geoName,la naturopathie
3,Brittany,36.75675675675676
5,Centre-Val de Loire,0.0
7,Corsica,0.0
15,Pays de la Loire,49.72972972972973
18,Provence-Alpes-Côte d'Azur,82.16216216216216
21,Île-de-France,70.27027027027027
22,Grand-est,0.0
23,Hauts-de-france,0.0
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,33.153153153153156
27,Occitanie,100.0
28,Auvergne-Rhône-Alpes,46.48648648648649
