,geoName,Moustiquaires
3,Brittany,18.0
5,Centre-Val de Loire,15.0
7,Corsica,100.0
15,Pays de la Loire,14.0
18,Provence-Alpes-Côte d'Azur,38.0
21,Île-de-France,8.0
22,Grand-est,19.666666666666668
23,Hauts-de-france,12.5
24,Normandie,16.5
25,Bourgogne-Franche-Comté,31.5
26,Nouvelle-Aquitaine,33.0
27,Occitanie,53.5
28,Auvergne-Rhône-Alpes,34.5
