date,Party Location,isPartial
2018-01-07,50,False
2018-01-14,40,False
2018-01-21,45,False
2018-01-28,40,False
2018-02-04,51,False
2018-02-11,56,False
2018-02-18,55,False
2018-02-25,50,False
2018-03-04,41,False
2018-03-11,34,False
2018-03-18,65,False
2018-03-25,20,False
2018-04-01,34,False
2018-04-08,42,False
2018-04-15,72,False
2018-04-22,28,False
2018-04-29,19,False
2018-05-06,49,False
2018-05-13,49,False
2018-05-20,44,False
2018-05-27,24,False
2018-06-03,56,False
2018-06-10,45,False
2018-06-17,36,False
2018-06-24,37,False
2018-07-01,55,False
2018-07-08,41,False
2018-07-15,36,False
2018-07-22,19,False
2018-07-29,72,False
2018-08-05,42,False
2018-08-12,48,False
2018-08-19,52,False
2018-08-26,81,False
2018-09-02,51,False
2018-09-09,88,False
2018-09-16,46,False
2018-09-23,98,False
2018-09-30,79,False
2018-10-07,42,False
2018-10-14,55,False
2018-10-21,45,False
2018-10-28,68,False
2018-11-04,35,False
2018-11-11,36,False
2018-11-18,26,False
2018-11-25,62,False
2018-12-02,40,False
2018-12-09,31,False
2018-12-16,46,False
2018-12-23,63,False
2018-12-30,100,False
2019-01-06,56,False
2019-01-13,93,False
2019-01-20,71,False
2019-01-27,57,False
2019-02-03,47,False
2019-02-10,48,False
2019-02-17,83,False
2019-02-24,62,False
2019-03-03,47,False
2019-03-10,51,False
2019-03-17,84,False
2019-03-24,62,False
2019-03-31,35,False
2019-04-07,46,False
2019-04-14,24,False
2019-04-21,47,False
2019-04-28,56,False
2019-05-05,47,False
2019-05-12,31,False
2019-05-19,43,False
2019-05-26,100,False
2019-06-02,82,False
2019-06-09,40,False
2019-06-16,40,False
2019-06-23,54,False
2019-06-30,57,False
2019-07-07,59,False
2019-07-14,36,False
2019-07-21,33,False
2019-07-28,69,False
2019-08-04,47,False
2019-08-11,71,False
2019-08-18,54,False
2019-08-25,35,False
2019-09-01,30,False
2019-09-08,44,False
2019-09-15,61,False
2019-09-22,64,False
2019-09-29,39,False
2019-10-06,43,False
2019-10-13,67,False
2019-10-20,54,False
2019-10-27,70,False
2019-11-03,36,False
2019-11-10,30,False
2019-11-17,32,False
2019-11-24,64,False
2019-12-01,61,False
2019-12-08,53,False
2019-12-15,25,False
2019-12-22,57,False
2019-12-29,62,False
2020-01-05,67,False
2020-01-12,83,False
2020-01-19,86,False
2020-01-26,62,False
2020-02-02,46,False
2020-02-09,45,False
2020-02-16,78,False
2020-02-23,53,False
2020-03-01,49,False
2020-03-08,36,False
2020-03-15,21,False
2020-03-22,16,False
2020-03-29,14,False
2020-04-05,11,False
2020-04-12,18,False
2020-04-19,28,False
2020-04-26,21,False
2020-05-03,17,False
2020-05-10,32,False
2020-05-17,42,True
