Year,ticket_geo_region_name,Type,Distribution
2018,Baden-Württemberg,Buffet,0.16
2018,Baden-Württemberg,Bar,0.39
2018,Baden-Württemberg,Essen,0.45
2018,Bayern,Buffet,NA
2018,Bayern,Bar,0.48
2018,Bayern,Essen,0.52
2018,Berlin,Buffet,NA
2018,Berlin,Bar,NA
2018,Berlin,Essen,1.0
2018,Brandenburg,Buffet,NA
2018,Brandenburg,Bar,NA
2018,Brandenburg,Essen,NA
2018,Bremen,Buffet,NA
2018,Bremen,Bar,NA
2018,Bremen,Essen,NA
2018,Deutschland,Buffet,0.12
2018,Deutschland,Bar,0.26
2018,Deutschland,Essen,0.62
2018,Hamburg,Buffet,NA
2018,Hamburg,Bar,NA
2018,Hamburg,Essen,NA
2018,Hessen,Buffet,NA
2018,Hessen,Bar,0.51
2018,Hessen,Essen,0.49
2018,Niedersachsen,Buffet,NA
2018,Niedersachsen,Bar,0.5
2018,Niedersachsen,Essen,0.5
2018,Mecklenburg-Vorpommern,Buffet,NA
2018,Mecklenburg-Vorpommern,Bar,NA
2018,Mecklenburg-Vorpommern,Essen,NA
2018,Nordrhein-Westfalen,Buffet,0.18
2018,Nordrhein-Westfalen,Bar,0.24
2018,Nordrhein-Westfalen,Essen,0.58
2018,Rheinland-Pfalz,Buffet,NA
2018,Rheinland-Pfalz,Bar,NA
2018,Rheinland-Pfalz,Essen,1.0
2018,Saarland,Buffet,NA
2018,Saarland,Bar,NA
2018,Saarland,Essen,NA
2018,Sachsen,Buffet,NA
2018,Sachsen,Bar,NA
2018,Sachsen,Essen,NA
2018,Sachsen-Anhalt,Buffet,NA
2018,Sachsen-Anhalt,Bar,NA
2018,Sachsen-Anhalt,Essen,NA
2018,Schleswig-Holstein,Buffet,NA
2018,Schleswig-Holstein,Bar,NA
2018,Schleswig-Holstein,Essen,NA
2018,Thüringen,Buffet,NA
2018,Thüringen,Bar,NA
2018,Thüringen,Essen,NA
2019,Baden-Württemberg,Buffet,0.14
2019,Baden-Württemberg,Bar,0.36
