Year,ticket_geo_region_name,Loc_type,Distribution
2018,Baden-Württemberg,Hotel/ Restaurant,0.35
2018,Baden-Württemberg,Villa,0.1
2018,Baden-Württemberg,Schloss,0.55
2018,Baden-Württemberg,Landhaus,NA
2018,Bayern,Hotel/ Restaurant,0.37
2018,Bayern,Villa,0.11
2018,Bayern,Schloss,0.52
2018,Bayern,Landhaus,NA
2018,Berlin,Hotel/ Restaurant,0.46
2018,Berlin,Villa,0.16
2018,Berlin,Schloss,0.38
2018,Berlin,Landhaus,NA
2018,Brandenburg,Hotel/ Restaurant,0.41
2018,Brandenburg,Villa,NA
2018,Brandenburg,Schloss,0.59
2018,Brandenburg,Landhaus,NA
2018,Bremen,Hotel/ Restaurant,NA
2018,Bremen,Villa,NA
2018,Bremen,Schloss,NA
2018,Bremen,Landhaus,NA
2018,Deutschland,Hotel/ Restaurant,0.34
2018,Deutschland,Villa,0.1
2018,Deutschland,Schloss,0.52
2018,Deutschland,Landhaus,NA4
2018,Hamburg,Hotel/ Restaurant,0.56
2018,Hamburg,Villa,NA
2018,Hamburg,Schloss,0.44
2018,Hamburg,Landhaus,NA
2018,Hessen,Hotel/ Restaurant,0.3
2018,Hessen,Villa,0.18
2018,Hessen,Schloss,0.52
2018,Hessen,Landhaus,NA
2018,Niedersachsen,Hotel/ Restaurant,0.47
2018,Niedersachsen,Villa,NA
2018,Niedersachsen,Schloss,0.53
2018,Niedersachsen,Landhaus,NA
2018,Mecklenburg-Vorpommern,Hotel/ Restaurant,NA
2018,Mecklenburg-Vorpommern,Villa,NA
2018,Mecklenburg-Vorpommern,Schloss,1.0
2018,Mecklenburg-Vorpommern,Landhaus,NA
2018,Nordrhein-Westfalen,Hotel/ Restaurant,0.27
2018,Nordrhein-Westfalen,Villa,0.13
2018,Nordrhein-Westfalen,Schloss,0.54
2018,Nordrhein-Westfalen,Landhaus,NA5
2018,Rheinland-Pfalz,Hotel/ Restaurant,0.44
2018,Rheinland-Pfalz,Villa,NA
2018,Rheinland-Pfalz,Schloss,0.56
2018,Rheinland-Pfalz,Landhaus,NA
2018,Saarland,Hotel/ Restaurant,NA
2018,Saarland,Villa,NA
2018,Saarland,Schloss,1.0
2018,Saarland,Landhaus,NA
2018,Sachsen,Hotel/ Restaurant,0.33
2018,Sachsen,Villa,NA
2018,Sachsen,Schloss,0.67
2018,Sachsen,Landhaus,NA
2018,Sachsen-Anhalt,Hotel/ Restaurant,0.28
2018,Sachsen-Anhalt,Villa,NA
