geoName,geoCode,Dach
Burgenland,AT-1,77
Carinthia,AT-2,100
Lower Austria,AT-3,81
Salzburg,AT-5,81
Styria,AT-6,91
Tyrol,AT-7,67
Upper Austria,AT-4,86
Vienna,AT-9,65
Vorarlberg,AT-8,83
