geoName,geoCode,Fenster
Burgenland,AT-1,100
Carinthia,AT-2,85
Lower Austria,AT-3,85
Salzburg,AT-5,77
Styria,AT-6,95
Tyrol,AT-7,76
Upper Austria,AT-4,78
Vienna,AT-9,66
Vorarlberg,AT-8,81
