geoName,geoCode,Terrassenplatten verlegen
Baden-Württemberg,DE-BW,79
Bavaria,DE-BY,48
Berlin,DE-BE,43
Brandenburg,DE-BB,89
Bremen,DE-HB,0
Hamburg,DE-HH,54
Hesse,DE-HE,80
Lower Saxony,DE-NI,60
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,85
Rhineland-Palatinate,DE-RP,85
Saarland,DE-SL,100
Saxony,DE-SN,77
Saxony-Anhalt,DE-ST,73
Schleswig-Holstein,DE-SH,59
Thuringia,DE-TH,64
