date,formation en anglais,isPartial
2018-01-07,70,False
2018-01-14,66,False
2018-01-21,66,False
2018-01-28,61,False
2018-02-04,91,False
2018-02-11,59,False
2018-02-18,63,False
2018-02-25,64,False
2018-03-04,80,False
2018-03-11,90,False
2018-03-18,56,False
2018-03-25,56,False
2018-04-01,60,False
2018-04-08,56,False
2018-04-15,43,False
2018-04-22,51,False
2018-04-29,73,False
2018-05-06,76,False
2018-05-13,53,False
2018-05-20,57,False
2018-05-27,58,False
2018-06-03,83,False
2018-06-10,74,False
2018-06-17,44,False
2018-06-24,56,False
2018-07-01,27,False
2018-07-08,44,False
2018-07-15,47,False
2018-07-22,47,False
2018-07-29,68,False
2018-08-05,27,False
2018-08-12,45,False
2018-08-19,40,False
2018-08-26,42,False
2018-09-02,89,False
2018-09-09,72,False
2018-09-16,69,False
2018-09-23,98,False
2018-09-30,78,False
2018-10-07,57,False
2018-10-14,79,False
2018-10-21,70,False
2018-10-28,45,False
2018-11-04,67,False
2018-11-11,73,False
2018-11-18,58,False
2018-11-25,65,False
2018-12-02,80,False
2018-12-09,69,False
2018-12-16,61,False
2018-12-23,22,False
2018-12-30,67,False
2019-01-06,40,False
2019-01-13,61,False
2019-01-20,62,False
2019-01-27,98,False
2019-02-03,92,False
2019-02-10,78,False
2019-02-17,54,False
2019-02-24,47,False
2019-03-03,72,False
2019-03-10,49,False
2019-03-17,66,False
2019-03-24,70,False
2019-03-31,59,False
2019-04-07,41,False
2019-04-14,38,False
2019-04-21,41,False
2019-04-28,40,False
2019-05-05,64,False
2019-05-12,43,False
2019-05-19,60,False
2019-05-26,55,False
2019-06-02,48,False
2019-06-09,38,False
2019-06-16,46,False
2019-06-23,72,False
2019-06-30,39,False
2019-07-07,88,False
2019-07-14,47,False
2019-07-21,48,False
2019-07-28,26,False
2019-08-04,36,False
2019-08-11,20,False
2019-08-18,46,False
2019-08-25,40,False
2019-09-01,59,False
2019-09-08,100,False
2019-09-15,76,False
2019-09-22,56,False
2019-09-29,96,False
2019-10-06,83,False
2019-10-13,77,False
2019-10-20,60,False
2019-10-27,45,False
2019-11-03,91,False
2019-11-10,67,False
2019-11-17,56,False
2019-11-24,68,False
2019-12-01,93,False
2019-12-08,83,False
2019-12-15,50,False
2019-12-22,19,False
2019-12-29,41,False
2020-01-05,65,False
2020-01-12,82,False
2020-01-19,59,False
2020-01-26,56,False
2020-02-02,64,False
2020-02-09,48,False
2020-02-16,70,False
2020-02-23,72,False
2020-03-01,49,False
2020-03-08,64,False
2020-03-15,56,False
2020-03-22,57,False
2020-03-29,74,False
2020-04-05,55,False
2020-04-12,41,False
2020-04-19,48,False
2020-04-26,73,False
2020-05-03,50,False
2020-05-10,50,False
2020-05-17,81,True
