date,formation en anglais,isPartial
2018-01-07,56,False
2018-01-14,56,False
2018-01-21,33,False
2018-01-28,84,False
2018-02-04,73,False
2018-02-11,26,False
2018-02-18,48,False
2018-02-25,42,False
2018-03-04,75,False
2018-03-11,86,False
2018-03-18,35,False
2018-03-25,87,False
2018-04-01,42,False
2018-04-08,63,False
2018-04-15,62,False
2018-04-22,54,False
2018-04-29,59,False
2018-05-06,31,False
2018-05-13,57,False
2018-05-20,58,False
2018-05-27,100,False
2018-06-03,28,False
2018-06-10,41,False
2018-06-17,44,False
2018-06-24,68,False
2018-07-01,44,False
2018-07-08,53,False
2018-07-15,32,False
2018-07-22,51,False
2018-07-29,34,False
2018-08-05,42,False
2018-08-12,33,False
2018-08-19,72,False
2018-08-26,24,False
2018-09-02,52,False
2018-09-09,79,False
2018-09-16,56,False
2018-09-23,45,False
2018-09-30,68,False
2018-10-07,61,False
2018-10-14,48,False
2018-10-21,44,False
2018-10-28,60,False
2018-11-04,56,False
2018-11-11,54,False
2018-11-18,66,False
2018-11-25,68,False
2018-12-02,50,False
2018-12-09,52,False
2018-12-16,35,False
2018-12-23,32,False
2018-12-30,52,False
2019-01-06,26,False
2019-01-13,45,False
2019-01-20,44,False
2019-01-27,61,False
2019-02-03,79,False
2019-02-10,56,False
2019-02-17,62,False
2019-02-24,46,False
2019-03-03,28,False
2019-03-10,51,False
2019-03-17,46,False
2019-03-24,66,False
2019-03-31,58,False
2019-04-07,36,False
2019-04-14,36,False
2019-04-21,64,False
2019-04-28,44,False
2019-05-05,62,False
2019-05-12,48,False
2019-05-19,41,False
2019-05-26,27,False
2019-06-02,27,False
2019-06-09,53,False
2019-06-16,53,False
2019-06-23,72,False
2019-06-30,30,False
2019-07-07,61,False
2019-07-14,26,False
2019-07-21,51,False
2019-07-28,65,False
2019-08-04,57,False
2019-08-11,83,False
2019-08-18,56,False
2019-08-25,30,False
2019-09-01,70,False
2019-09-08,93,False
2019-09-15,57,False
2019-09-22,50,False
2019-09-29,50,False
2019-10-06,51,False
2019-10-13,46,False
2019-10-20,53,False
2019-10-27,54,False
2019-11-03,66,False
2019-11-10,68,False
2019-11-17,68,False
2019-11-24,50,False
2019-12-01,86,False
2019-12-08,60,False
2019-12-15,45,False
2019-12-22,51,False
2019-12-29,32,False
2020-01-05,54,False
2020-01-12,43,False
2020-01-19,50,False
2020-01-26,76,False
2020-02-02,99,False
2020-02-09,50,False
2020-02-16,74,False
2020-02-23,53,False
2020-03-01,47,False
2020-03-08,57,False
2020-03-15,39,False
2020-03-22,51,False
2020-03-29,56,False
2020-04-05,44,False
2020-04-12,40,False
2020-04-19,54,False
2020-04-26,54,False
2020-05-03,26,False
2020-05-10,70,False
2020-05-17,33,True
