,geoName,formation en anglais
3,Brittany,64.0
5,Centre-Val de Loire,54.0
7,Corsica,0.0
15,Pays de la Loire,82.0
18,Provence-Alpes-Côte d'Azur,72.0
21,Île-de-France,100.0
22,Grand-est,39.666666666666664
23,Hauts-de-france,36.0
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,44.0
27,Occitanie,67.5
28,Auvergne-Rhône-Alpes,35.0
