geoName,geoCode,Lebensmittel liefern
Baden-Württemberg,DE-BW,66
Bavaria,DE-BY,54
Berlin,DE-BE,100
Brandenburg,DE-BB,87
Bremen,DE-HB,90
Hamburg,DE-HH,71
Hesse,DE-HE,50
Lower Saxony,DE-NI,64
Mecklenburg-Vorpommern,DE-MV,77
North Rhine-Westphalia,DE-NW,78
Rhineland-Palatinate,DE-RP,67
Saarland,DE-SL,69
Saxony,DE-SN,48
Saxony-Anhalt,DE-ST,63
Schleswig-Holstein,DE-SH,56
Thuringia,DE-TH,44
