date,Straßenbau,isPartial
2018-01-07,73,False
2018-01-14,83,False
2018-01-21,71,False
2018-01-28,86,False
2018-02-04,80,False
2018-02-11,80,False
2018-02-18,86,False
2018-02-25,71,False
2018-03-04,78,False
2018-03-11,100,False
2018-03-18,75,False
2018-03-25,83,False
2018-04-01,78,False
2018-04-08,87,False
2018-04-15,81,False
2018-04-22,81,False
2018-04-29,78,False
2018-05-06,67,False
2018-05-13,69,False
2018-05-20,82,False
2018-05-27,81,False
2018-06-03,70,False
2018-06-10,85,False
2018-06-17,94,False
2018-06-24,88,False
2018-07-01,93,False
2018-07-08,86,False
2018-07-15,81,False
2018-07-22,73,False
2018-07-29,84,False
2018-08-05,76,False
2018-08-12,65,False
2018-08-19,72,False
2018-08-26,66,False
2018-09-02,83,False
2018-09-09,79,False
2018-09-16,86,False
2018-09-23,61,False
2018-09-30,73,False
2018-10-07,87,False
2018-10-14,66,False
2018-10-21,81,False
2018-10-28,69,False
2018-11-04,82,False
2018-11-11,95,False
2018-11-18,77,False
2018-11-25,71,False
2018-12-02,75,False
2018-12-09,71,False
2018-12-16,62,False
2018-12-23,29,False
2018-12-30,46,False
2019-01-06,63,False
2019-01-13,73,False
2019-01-20,79,False
2019-01-27,82,False
2019-02-03,63,False
2019-02-10,76,False
2019-02-17,76,False
2019-02-24,73,False
2019-03-03,90,False
2019-03-10,85,False
2019-03-17,90,False
2019-03-24,90,False
2019-03-31,87,False
2019-04-07,69,False
2019-04-14,72,False
2019-04-21,67,False
2019-04-28,69,False
2019-05-05,81,False
2019-05-12,83,False
2019-05-19,73,False
2019-05-26,69,False
2019-06-02,75,False
2019-06-09,60,False
2019-06-16,72,False
2019-06-23,82,False
2019-06-30,79,False
2019-07-07,78,False
2019-07-14,74,False
2019-07-21,67,False
2019-07-28,60,False
2019-08-04,74,False
2019-08-11,84,False
2019-08-18,79,False
2019-08-25,81,False
2019-09-01,81,False
2019-09-08,79,False
2019-09-15,76,False
2019-09-22,63,False
2019-09-29,54,False
2019-10-06,71,False
2019-10-13,72,False
2019-10-20,68,False
2019-10-27,70,False
2019-11-03,80,False
2019-11-10,66,False
2019-11-17,76,False
2019-11-24,65,False
2019-12-01,72,False
2019-12-08,74,False
2019-12-15,61,False
2019-12-22,42,False
2019-12-29,34,False
2020-01-05,76,False
2020-01-12,79,False
2020-01-19,68,False
2020-01-26,68,False
2020-02-02,72,False
2020-02-09,97,False
2020-02-16,75,False
2020-02-23,85,False
2020-03-01,73,False
2020-03-08,61,False
2020-03-15,54,False
2020-03-22,52,False
2020-03-29,54,False
2020-04-05,57,False
2020-04-12,60,False
2020-04-19,62,False
2020-04-26,67,False
2020-05-03,75,False
2020-05-10,79,False
