geoName,geoCode,Straßenbau
Baden-Württemberg,DE-BW,47
Bavaria,DE-BY,48
Berlin,DE-BE,48
Brandenburg,DE-BB,78
Bremen,DE-HB,46
Hamburg,DE-HH,53
Hesse,DE-HE,50
Lower Saxony,DE-NI,81
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,57
Rhineland-Palatinate,DE-RP,57
Saarland,DE-SL,86
Saxony,DE-SN,96
Saxony-Anhalt,DE-ST,59
Schleswig-Holstein,DE-SH,53
Thuringia,DE-TH,69
