geoName,geoCode,ricette dolci
Abruzzo,IT-65,70
Aosta,IT-23,46
Apulia,IT-75,87
Basilicata,IT-77,100
Calabria,IT-78,90
Campania,IT-72,82
Emilia-Romagna,IT-45,66
Friuli-Venezia Giulia,IT-36,56
Lazio,IT-62,72
Liguria,IT-42,64
Lombardy,IT-25,61
Marche,IT-57,87
Molise,IT-67,66
Piedmont,IT-21,65
Sardinia,IT-88,64
Sicily,IT-82,80
Trentino-Alto Adige/South Tyrol,IT-32,40
Tuscany,IT-52,74
Umbria,IT-55,97
Veneto,IT-34,64
