date,piscine chauffée
2018-01-07,0.305
2018-01-14,0.355
2018-01-21,0.0
2018-01-28,0.405
2018-02-04,0.16
2018-02-11,0.31
2018-02-18,0.585
2018-02-25,0.0
2018-03-04,0.46
2018-03-11,0.16
2018-03-18,0.39
2018-03-25,0.625
2018-04-01,0.41
2018-04-08,0.16
2018-04-15,0.17
2018-04-22,0.305
2018-04-29,0.16
2018-05-06,0.155
2018-05-13,0.0
2018-05-20,0.32
2018-05-27,0.155
2018-06-03,0.41
2018-06-10,0.46
2018-06-17,0.42
2018-06-24,0.335
2018-07-01,0.41
2018-07-08,0.0
2018-07-15,0.18
2018-07-22,0.275
2018-07-29,0.32
2018-08-05,0.695
2018-08-12,0.145
2018-08-19,0.17
2018-08-26,0.15
2018-09-02,0.335
2018-09-09,0.33
2018-09-16,0.74
2018-09-23,0.595
2018-09-30,0.18
2018-10-07,0.33
2018-10-14,0.0
2018-10-21,0.165
2018-10-28,0.17
2018-11-04,0.395
2018-11-11,0.155
2018-11-18,0.15
2018-11-25,0.155
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.405
2018-12-23,0.355
2018-12-30,0.69
2019-01-06,0.47
2019-01-13,0.17
2019-01-20,0.17
2019-01-27,0.15
2019-02-03,0.535
2019-02-10,0.4
2019-02-17,0.5
2019-02-24,0.585
2019-03-03,0.0
2019-03-10,0.565
2019-03-17,0.245
2019-03-24,0.18
2019-03-31,0.605
2019-04-07,0.64
2019-04-14,0.575
2019-04-21,0.55
2019-04-28,0.355
2019-05-05,0.13
2019-05-12,0.3
2019-05-19,0.26
2019-05-26,0.55
2019-06-02,0.54
2019-06-09,0.125
2019-06-16,0.47
2019-06-23,0.3
2019-06-30,0.525
2019-07-07,0.24
2019-07-14,0.285
2019-07-21,0.16
2019-07-28,0.255
2019-08-04,0.13
2019-08-11,0.515
2019-08-18,0.31
2019-08-25,0.255
2019-09-01,0.35
2019-09-08,0.365
2019-09-15,0.28
2019-09-22,0.115
2019-09-29,0.585
2019-10-06,0.13
2019-10-13,0.48
2019-10-20,0.195
2019-10-27,0.605
2019-11-03,0.115
2019-11-10,0.12
2019-11-17,0.28
2019-11-24,0.275
2019-12-01,0.54
2019-12-08,0.25
2019-12-15,0.125
2019-12-22,0.635
2019-12-29,0.725
2020-01-05,0.475
2020-01-12,0.47
2020-01-19,0.21
2020-01-26,0.69
2020-02-02,0.475
2020-02-09,0.27
2020-02-16,0.325
2020-02-23,0.53
2020-03-01,0.465
2020-03-08,0.14
2020-03-15,0.0
2020-03-22,0.28
2020-03-29,0.12
2020-04-05,0.28
2020-04-12,0.3
2020-04-19,0.28
2020-04-26,0.27
2020-05-03,0.105
2020-05-10,0.18
2020-05-17,0.375
2020-05-24,0.25
2020-05-31,0.21
2020-06-07,0.21
2020-06-14,0.315
2020-06-21,1.0
