date,piscine chauffée,isPartial
2018-01-07,50,False
2018-01-14,65,False
2018-01-21,45,False
2018-01-28,49,False
2018-02-04,22,False
2018-02-11,30,False
2018-02-18,48,False
2018-02-25,37,False
2018-03-04,45,False
2018-03-11,51,False
2018-03-18,46,False
2018-03-25,62,False
2018-04-01,79,False
2018-04-08,56,False
2018-04-15,49,False
2018-04-22,64,False
2018-04-29,68,False
2018-05-06,39,False
2018-05-13,35,False
2018-05-20,46,False
2018-05-27,30,False
2018-06-03,22,False
2018-06-10,14,False
2018-06-17,15,False
2018-06-24,52,False
2018-07-01,39,False
2018-07-08,26,False
2018-07-15,68,False
2018-07-22,17,False
2018-07-29,44,False
2018-08-05,31,False
2018-08-12,39,False
2018-08-19,24,False
2018-08-26,40,False
2018-09-02,20,False
2018-09-09,30,False
2018-09-16,59,False
2018-09-23,30,False
2018-09-30,45,False
2018-10-07,44,False
2018-10-14,43,False
2018-10-21,97,False
2018-10-28,40,False
2018-11-04,29,False
2018-11-11,14,False
2018-11-18,29,False
2018-11-25,35,False
2018-12-02,15,False
2018-12-09,31,False
2018-12-16,51,False
2018-12-23,57,False
2018-12-30,40,False
2019-01-06,35,False
2019-01-13,55,False
2019-01-20,44,False
2019-01-27,29,False
2019-02-03,70,False
2019-02-10,49,False
2019-02-17,65,False
2019-02-24,46,False
2019-03-03,44,False
2019-03-10,65,False
2019-03-17,46,False
2019-03-24,100,False
2019-03-31,52,False
2019-04-07,47,False
2019-04-14,40,False
2019-04-21,46,False
2019-04-28,44,False
2019-05-05,25,False
2019-05-12,16,False
2019-05-19,39,False
2019-05-26,57,False
2019-06-02,29,False
2019-06-09,55,False
2019-06-16,21,False
2019-06-23,16,False
2019-06-30,47,False
2019-07-07,32,False
2019-07-14,26,False
2019-07-21,63,False
2019-07-28,29,False
2019-08-04,54,False
2019-08-11,42,False
2019-08-18,50,False
2019-08-25,18,False
2019-09-01,52,False
2019-09-08,26,False
2019-09-15,56,False
2019-09-22,45,False
2019-09-29,54,False
2019-10-06,25,False
2019-10-13,38,False
2019-10-20,62,False
2019-10-27,48,False
2019-11-03,49,False
2019-11-10,46,False
2019-11-17,38,False
2019-11-24,37,False
2019-12-01,29,False
2019-12-08,14,False
2019-12-15,40,False
2019-12-22,30,False
2019-12-29,84,False
2020-01-05,43,False
2020-01-12,36,False
2020-01-19,39,False
2020-01-26,43,False
2020-02-02,49,False
2020-02-09,74,False
2020-02-16,71,False
2020-02-23,66,False
2020-03-01,70,False
2020-03-08,37,False
2020-03-15,15,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,30,False
2020-04-12,38,False
2020-04-19,29,False
2020-04-26,14,False
2020-05-03,41,False
2020-05-10,38,False
2020-05-17,30,False
2020-05-24,66,False
2020-05-31,31,False
2020-06-07,63,False
2020-06-14,28,False
2020-06-21,66,True
