geoName,geoCode,piscine chauffée
Brittany,FR-E,72.97297297297297
Centre-Val de Loire,FR-F,64.86486486486487
Corsica,FR-H,0.0
Pays de la Loire,FR-R,79.45945945945945
Provence-Alpes-Côte d'Azur,FR-U,48.64864864864865
Île-de-France,FR-J,64.86486486486487
Grand-est,FR-GE,76.75675675675676
Hauts-de-france,FR-HF,94.86486486486487
Normandie,FR-NO,94.05405405405406
Bourgogne-Franche-Comté,FR-BFC,81.08108108108108
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,57.567567567567565
Auvergne-Rhône-Alpes,FR-AR,64.05405405405405
