geoName,geoCode,colore capelli
Abruzzo,IT-65,66
Aosta,IT-23,81
Apulia,IT-75,66
Basilicata,IT-77,71
Calabria,IT-78,74
Campania,IT-72,77
Emilia-Romagna,IT-45,57
Friuli-Venezia Giulia,IT-36,45
Lazio,IT-62,61
Liguria,IT-42,43
Lombardy,IT-25,52
Marche,IT-57,41
Molise,IT-67,83
Piedmont,IT-21,54
Sardinia,IT-88,49
Sicily,IT-82,100
Trentino-Alto Adige/South Tyrol,IT-32,44
Tuscany,IT-52,94
Umbria,IT-55,48
Veneto,IT-34,63
