date,colore capelli,isPartial
2018-01-07,45,False
2018-01-14,35,False
2018-01-21,57,False
2018-01-28,43,False
2018-02-04,69,False
2018-02-11,61,False
2018-02-18,51,False
2018-02-25,71,False
2018-03-04,39,False
2018-03-11,69,False
2018-03-18,80,False
2018-03-25,41,False
2018-04-01,19,False
2018-04-08,71,False
2018-04-15,41,False
2018-04-22,66,False
2018-04-29,88,False
2018-05-06,61,False
2018-05-13,31,False
2018-05-20,49,False
2018-05-27,40,False
2018-06-03,27,False
2018-06-10,43,False
2018-06-17,40,False
2018-06-24,32,False
2018-07-01,48,False
2018-07-08,17,False
2018-07-15,63,False
2018-07-22,41,False
2018-07-29,28,False
2018-08-05,55,False
2018-08-12,37,False
2018-08-19,49,False
2018-08-26,49,False
2018-09-02,74,False
2018-09-09,48,False
2018-09-16,43,False
2018-09-23,30,False
2018-09-30,66,False
2018-10-07,36,False
2018-10-14,58,False
2018-10-21,45,False
2018-10-28,44,False
2018-11-04,50,False
2018-11-11,79,False
2018-11-18,51,False
2018-11-25,73,False
2018-12-02,36,False
2018-12-09,72,False
2018-12-16,33,False
2018-12-23,51,False
2018-12-30,37,False
2019-01-06,55,False
2019-01-13,34,False
2019-01-20,34,False
2019-01-27,47,False
2019-02-03,43,False
2019-02-10,48,False
2019-02-17,61,False
2019-02-24,53,False
2019-03-03,41,False
2019-03-10,72,False
2019-03-17,70,False
2019-03-24,53,False
2019-03-31,44,False
2019-04-07,48,False
2019-04-14,50,False
2019-04-21,25,False
2019-04-28,59,False
2019-05-05,35,False
2019-05-12,57,False
2019-05-19,55,False
2019-05-26,28,False
2019-06-02,31,False
2019-06-09,66,False
2019-06-16,31,False
2019-06-23,9,False
2019-06-30,36,False
2019-07-07,25,False
2019-07-14,47,False
2019-07-21,57,False
2019-07-28,57,False
2019-08-04,38,False
2019-08-11,61,False
2019-08-18,67,False
2019-08-25,24,False
2019-09-01,89,False
2019-09-08,52,False
2019-09-15,44,False
2019-09-22,43,False
2019-09-29,53,False
2019-10-06,62,False
2019-10-13,37,False
2019-10-20,40,False
2019-10-27,28,False
2019-11-03,35,False
2019-11-10,32,False
2019-11-17,51,False
2019-11-24,38,False
2019-12-01,77,False
2019-12-08,57,False
2019-12-15,67,False
2019-12-22,45,False
2019-12-29,37,False
2020-01-05,32,False
2020-01-12,40,False
2020-01-19,52,False
2020-01-26,41,False
2020-02-02,48,False
2020-02-09,46,False
2020-02-16,67,False
2020-02-23,41,False
2020-03-01,52,False
2020-03-08,48,False
2020-03-15,69,False
2020-03-22,73,False
2020-03-29,91,False
2020-04-05,76,False
2020-04-12,100,False
2020-04-19,95,False
2020-04-26,79,True
