geoName,geoCode,Metallverarbeitung
Baden-Württemberg,DE-BW,72
Bavaria,DE-BY,57
Berlin,DE-BE,36
Brandenburg,DE-BB,28
Bremen,DE-HB,55
Hamburg,DE-HH,68
Hesse,DE-HE,30
Lower Saxony,DE-NI,35
Mecklenburg-Vorpommern,DE-MV,93
North Rhine-Westphalia,DE-NW,59
Rhineland-Palatinate,DE-RP,29
Saarland,DE-SL,64
Saxony,DE-SN,68
Saxony-Anhalt,DE-ST,46
Schleswig-Holstein,DE-SH,23
Thuringia,DE-TH,100
