date,acconciature per capelli,isPartial
2018-01-07,39,False
2018-01-14,39,False
2018-01-21,43,False
2018-01-28,31,False
2018-02-04,52,False
2018-02-11,51,False
2018-02-18,44,False
2018-02-25,55,False
2018-03-04,60,False
2018-03-11,38,False
2018-03-18,47,False
2018-03-25,55,False
2018-04-01,39,False
2018-04-08,48,False
2018-04-15,61,False
2018-04-22,79,False
2018-04-29,100,False
2018-05-06,99,False
2018-05-13,94,False
2018-05-20,94,False
2018-05-27,75,False
2018-06-03,66,False
2018-06-10,65,False
2018-06-17,53,False
2018-06-24,63,False
2018-07-01,74,False
2018-07-08,43,False
2018-07-15,86,False
2018-07-22,59,False
2018-07-29,90,False
2018-08-05,59,False
2018-08-12,54,False
2018-08-19,77,False
2018-08-26,44,False
2018-09-02,87,False
2018-09-09,64,False
2018-09-16,49,False
2018-09-23,59,False
2018-09-30,45,False
2018-10-07,41,False
2018-10-14,37,False
2018-10-21,45,False
2018-10-28,33,False
2018-11-04,30,False
2018-11-11,14,False
2018-11-18,31,False
2018-11-25,45,False
2018-12-02,41,False
2018-12-09,44,False
2018-12-16,13,False
2018-12-23,34,False
2018-12-30,45,False
2019-01-06,19,False
2019-01-13,35,False
2019-01-20,34,False
2019-01-27,29,False
2019-02-03,36,False
2019-02-10,46,False
2019-02-17,45,False
2019-02-24,39,False
2019-03-03,19,False
2019-03-10,59,False
2019-03-17,36,False
2019-03-24,27,False
2019-03-31,29,False
2019-04-07,47,False
2019-04-14,58,False
2019-04-21,54,False
2019-04-28,86,False
2019-05-05,71,False
2019-05-12,85,False
2019-05-19,57,False
2019-05-26,58,False
2019-06-02,40,False
2019-06-09,73,False
2019-06-16,69,False
2019-06-23,51,False
2019-06-30,66,False
2019-07-07,40,False
2019-07-14,63,False
2019-07-21,64,False
2019-07-28,52,False
2019-08-04,43,False
2019-08-11,76,False
2019-08-18,48,False
2019-08-25,79,False
2019-09-01,72,False
2019-09-08,84,False
2019-09-15,69,False
2019-09-22,44,False
2019-09-29,40,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,28,False
2019-10-27,22,False
2019-11-03,23,False
2019-11-10,24,False
2019-11-17,30,False
2019-11-24,19,False
2019-12-01,25,False
2019-12-08,16,False
2019-12-15,22,False
2019-12-22,34,False
2019-12-29,25,False
2020-01-05,20,False
2020-01-12,33,False
2020-01-19,19,False
2020-01-26,27,False
2020-02-02,35,False
2020-02-09,36,False
2020-02-16,27,False
2020-02-23,29,False
2020-03-01,27,False
2020-03-08,11,False
2020-03-15,30,False
2020-03-22,23,False
2020-03-29,13,False
2020-04-05,25,False
2020-04-12,21,False
2020-04-19,20,False
2020-04-26,31,True
