date,video di buon compleanno,isPartial
2018-01-07,85,False
2018-01-14,67,False
2018-01-21,52,False
2018-01-28,59,False
2018-02-04,37,False
2018-02-11,66,False
2018-02-18,61,False
2018-02-25,37,False
2018-03-04,30,False
2018-03-11,41,False
2018-03-18,100,False
2018-03-25,43,False
2018-04-01,34,False
2018-04-08,42,False
2018-04-15,57,False
2018-04-22,44,False
2018-04-29,46,False
2018-05-06,55,False
2018-05-13,28,False
2018-05-20,49,False
2018-05-27,67,False
2018-06-03,49,False
2018-06-10,47,False
2018-06-17,52,False
2018-06-24,42,False
2018-07-01,45,False
2018-07-08,45,False
2018-07-15,35,False
2018-07-22,42,False
2018-07-29,58,False
2018-08-05,52,False
2018-08-12,59,False
2018-08-19,77,False
2018-08-26,46,False
2018-09-02,47,False
2018-09-09,75,False
2018-09-16,47,False
2018-09-23,58,False
2018-09-30,51,False
2018-10-07,63,False
2018-10-14,53,False
2018-10-21,41,False
2018-10-28,44,False
2018-11-04,33,False
2018-11-11,49,False
2018-11-18,51,False
2018-11-25,76,False
2018-12-02,74,False
2018-12-09,45,False
2018-12-16,36,False
2018-12-23,66,False
2018-12-30,68,False
2019-01-06,56,False
2019-01-13,47,False
2019-01-20,30,False
2019-01-27,45,False
2019-02-03,75,False
2019-02-10,66,False
2019-02-17,30,False
2019-02-24,43,False
2019-03-03,28,False
2019-03-10,44,False
2019-03-17,56,False
2019-03-24,63,False
2019-03-31,34,False
2019-04-07,27,False
2019-04-14,25,False
2019-04-21,41,False
2019-04-28,48,False
2019-05-05,43,False
2019-05-12,33,False
2019-05-19,39,False
2019-05-26,35,False
2019-06-02,34,False
2019-06-09,21,False
2019-06-16,41,False
2019-06-23,46,False
2019-06-30,53,False
2019-07-07,34,False
2019-07-14,28,False
2019-07-21,42,False
2019-07-28,32,False
2019-08-04,48,False
2019-08-11,39,False
2019-08-18,29,False
2019-08-25,53,False
2019-09-01,31,False
2019-09-08,39,False
2019-09-15,29,False
2019-09-22,41,False
2019-09-29,26,False
2019-10-06,16,False
2019-10-13,42,False
2019-10-20,25,False
2019-10-27,29,False
2019-11-03,34,False
2019-11-10,31,False
2019-11-17,34,False
2019-11-24,31,False
2019-12-01,29,False
2019-12-08,48,False
2019-12-15,42,False
2019-12-22,60,False
2019-12-29,57,False
2020-01-05,22,False
2020-01-12,62,False
2020-01-19,18,False
2020-01-26,42,False
2020-02-02,41,False
2020-02-09,37,False
2020-02-16,66,False
2020-02-23,34,False
2020-03-01,28,False
2020-03-08,38,False
2020-03-15,54,False
2020-03-22,66,False
2020-03-29,73,False
2020-04-05,69,False
2020-04-12,72,False
2020-04-19,78,False
2020-04-26,100,True
