geoName,geoCode,Schlüssel nachmachen
Baden-Württemberg,DE-BW,91
Bavaria,DE-BY,83
Berlin,DE-BE,81
Brandenburg,DE-BB,70
Bremen,DE-HB,64
Hamburg,DE-HH,70
Hesse,DE-HE,73
Lower Saxony,DE-NI,84
Mecklenburg-Vorpommern,DE-MV,86
North Rhine-Westphalia,DE-NW,100
Rhineland-Palatinate,DE-RP,96
Saarland,DE-SL,100
Saxony,DE-SN,76
Saxony-Anhalt,DE-ST,95
Schleswig-Holstein,DE-SH,83
Thuringia,DE-TH,50
