geoName,geoCode,moustiquaire 
Alsace,FR-A,42
Aquitaine,FR-B,76
Auvergne,FR-C,80
Brittany,FR-E,20
Burgundy,FR-D,65
Centre-Val de Loire,FR-F,39
Champagne-Ardenne,FR-G,45
Corsica,FR-H,56
Franche-Comté,FR-I,74
Languedoc-Roussillon,FR-K,88
Limousin,FR-L,41
Lorraine,FR-M,53
Lower Normandy,FR-P,17
Midi-Pyrénées,FR-N,100
Nord-Pas-de-Calais,FR-O,35
Pays de la Loire,FR-R,39
Picardy,FR-S,36
Poitou-Charentes,FR-T,71
Provence-Alpes-Côte d'Azur,FR-U,77
Rhone-Alpes,FR-V,68
Upper Normandy,FR-Q,21
Île-de-France,FR-J,24
