geoName,geoCode,Gärtnerei
Burgenland,AT-1,59
Carinthia,AT-2,92
Lower Austria,AT-3,94
Salzburg,AT-5,61
Styria,AT-6,89
Tyrol,AT-7,77
Upper Austria,AT-4,100
Vienna,AT-9,52
Vorarlberg,AT-8,76
