date,set,isPartial
2018-01-07,85,False
2018-01-14,73,False
2018-01-21,82,False
2018-01-28,78,False
2018-02-04,74,False
2018-02-11,69,False
2018-02-18,72,False
2018-02-25,70,False
2018-03-04,74,False
2018-03-11,79,False
2018-03-18,80,False
2018-03-25,74,False
2018-04-01,62,False
2018-04-08,76,False
2018-04-15,77,False
2018-04-22,73,False
2018-04-29,63,False
2018-05-06,66,False
2018-05-13,64,False
2018-05-20,67,False
2018-05-27,57,False
2018-06-03,65,False
2018-06-10,70,False
2018-06-17,72,False
2018-06-24,73,False
2018-07-01,81,False
2018-07-08,83,False
2018-07-15,78,False
2018-07-22,73,False
2018-07-29,71,False
2018-08-05,71,False
2018-08-12,61,False
2018-08-19,66,False
2018-08-26,71,False
2018-09-02,73,False
2018-09-09,72,False
2018-09-16,72,False
2018-09-23,73,False
2018-09-30,70,False
2018-10-07,82,False
2018-10-14,79,False
2018-10-21,66,False
2018-10-28,73,False
2018-11-04,77,False
2018-11-11,76,False
2018-11-18,86,False
2018-11-25,87,False
2018-12-02,98,False
2018-12-09,85,False
2018-12-16,82,False
2018-12-23,83,False
2018-12-30,76,False
2019-01-06,76,False
2019-01-13,81,False
2019-01-20,73,False
2019-01-27,67,False
2019-02-03,74,False
2019-02-10,61,False
2019-02-17,74,False
2019-02-24,78,False
2019-03-03,71,False
2019-03-10,74,False
2019-03-17,72,False
2019-03-24,72,False
2019-03-31,82,False
2019-04-07,76,False
2019-04-14,66,False
2019-04-21,64,False
2019-04-28,64,False
2019-05-05,77,False
2019-05-12,77,False
2019-05-19,73,False
2019-05-26,70,False
2019-06-02,72,False
2019-06-09,75,False
2019-06-16,84,False
2019-06-23,86,False
2019-06-30,79,False
2019-07-07,69,False
2019-07-14,77,False
2019-07-21,72,False
2019-07-28,68,False
2019-08-04,72,False
2019-08-11,66,False
2019-08-18,70,False
2019-08-25,81,False
2019-09-01,69,False
2019-09-08,81,False
2019-09-15,70,False
2019-09-22,74,False
2019-09-29,65,False
2019-10-06,87,False
2019-10-13,75,False
2019-10-20,78,False
2019-10-27,70,False
2019-11-03,79,False
2019-11-10,79,False
2019-11-17,83,False
2019-11-24,92,False
2019-12-01,98,False
2019-12-08,94,False
2019-12-15,100,False
2019-12-22,86,False
2019-12-29,83,False
2020-01-05,79,False
2020-01-12,80,False
2020-01-19,73,False
2020-01-26,74,False
2020-02-02,71,False
2020-02-09,67,False
2020-02-16,73,False
2020-02-23,60,False
2020-03-01,73,False
2020-03-08,52,False
2020-03-15,72,False
2020-03-22,64,False
2020-03-29,84,False
2020-04-05,87,False
2020-04-12,100,False
2020-04-19,99,False
2020-04-26,88,True
