geoName,geoCode,Manitas
Andalusia,ES-AN,61
Aragon,ES-AR,87
Asturias,ES-AS,47
Balearic Islands,ES-IB,74
Basque Country,ES-PV,41
Canary Islands,ES-CN,34
Cantabria,ES-CB,34
Castile and León,ES-CL,68
Castile-La Mancha,ES-CM,96
Catalonia,ES-CT,42
Ceuta,ES-CE,0
Community of Madrid,ES-MD,57
Extremadura,ES-EX,73
Galicia,ES-GA,39
La Rioja,ES-RI,30
Melilla,ES-ML,0
Navarre,ES-NC,74
Region of Murcia,ES-MC,63
Valencian Community,ES-VC,100
