geoName,geoCode,Videoüberwachung
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,52
Salzburg,AT-5,29
Styria,AT-6,42
Tyrol,AT-7,86
Upper Austria,AT-4,45
Vienna,AT-9,51
Vorarlberg,AT-8,85
