geoName,geoCode,camicie uomo
Abruzzo,IT-65,83
Aosta,IT-23,0
Apulia,IT-75,58
Basilicata,IT-77,69
Calabria,IT-78,95
Campania,IT-72,53
Emilia-Romagna,IT-45,41
Friuli-Venezia Giulia,IT-36,29
Lazio,IT-62,69
Liguria,IT-42,29
Lombardy,IT-25,57
Marche,IT-57,65
Molise,IT-67,0
Piedmont,IT-21,58
Sardinia,IT-88,67
Sicily,IT-82,60
Trentino-Alto Adige/South Tyrol,IT-32,17
Tuscany,IT-52,52
Umbria,IT-55,100
Veneto,IT-34,75
