geoName,geoCode,Holz schleifen
Baden-Württemberg,DE-BW,56
Bavaria,DE-BY,57
Berlin,DE-BE,82
Brandenburg,DE-BB,22
Bremen,DE-HB,0
Hamburg,DE-HH,47
Hesse,DE-HE,58
Lower Saxony,DE-NI,55
Mecklenburg-Vorpommern,DE-MV,92
North Rhine-Westphalia,DE-NW,57
Rhineland-Palatinate,DE-RP,42
Saarland,DE-SL,0
Saxony,DE-SN,52
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,59
Thuringia,DE-TH,54
