date,Flamenco,isPartial
2018-01-07,67,False
2018-01-14,69,False
2018-01-21,68,False
2018-01-28,70,False
2018-02-04,55,False
2018-02-11,62,False
2018-02-18,40,False
2018-02-25,46,False
2018-03-04,46,False
2018-03-11,36,False
2018-03-18,42,False
2018-03-25,48,False
2018-04-01,44,False
2018-04-08,30,False
2018-04-15,67,False
2018-04-22,69,False
2018-04-29,70,False
2018-05-06,51,False
2018-05-13,45,False
2018-05-20,50,False
2018-05-27,51,False
2018-06-03,61,False
2018-06-10,66,False
2018-06-17,53,False
2018-06-24,53,False
2018-07-01,46,False
2018-07-08,42,False
2018-07-15,66,False
2018-07-22,52,False
2018-07-29,55,False
2018-08-05,58,False
2018-08-12,60,False
2018-08-19,50,False
2018-08-26,46,False
2018-09-02,57,False
2018-09-09,61,False
2018-09-16,51,False
2018-09-23,62,False
2018-09-30,56,False
2018-10-07,73,False
2018-10-14,51,False
2018-10-21,56,False
2018-10-28,54,False
2018-11-04,61,False
2018-11-11,50,False
2018-11-18,50,False
2018-11-25,54,False
2018-12-02,60,False
2018-12-09,52,False
2018-12-16,43,False
2018-12-23,31,False
2018-12-30,56,False
2019-01-06,58,False
2019-01-13,67,False
2019-01-20,66,False
2019-01-27,60,False
2019-02-03,100,False
2019-02-10,100,False
2019-02-17,59,False
2019-02-24,66,False
2019-03-03,65,False
2019-03-10,39,False
2019-03-17,78,False
2019-03-24,50,False
2019-03-31,64,False
2019-04-07,53,False
2019-04-14,50,False
2019-04-21,73,False
2019-04-28,61,False
2019-05-05,54,False
2019-05-12,61,False
2019-05-19,62,False
2019-05-26,47,False
2019-06-02,69,False
2019-06-09,69,False
2019-06-16,69,False
2019-06-23,48,False
2019-06-30,36,False
2019-07-07,53,False
2019-07-14,53,False
2019-07-21,49,False
2019-07-28,34,False
2019-08-04,48,False
2019-08-11,60,False
2019-08-18,45,False
2019-08-25,57,False
2019-09-01,45,False
2019-09-08,55,False
2019-09-15,65,False
2019-09-22,46,False
2019-09-29,36,False
2019-10-06,62,False
2019-10-13,63,False
2019-10-20,58,False
2019-10-27,50,False
2019-11-03,50,False
2019-11-10,45,False
2019-11-17,52,False
2019-11-24,63,False
2019-12-01,38,False
2019-12-08,47,False
2019-12-15,73,False
2019-12-22,54,False
2019-12-29,56,False
2020-01-05,58,False
2020-01-12,55,False
2020-01-19,46,False
2020-01-26,73,False
2020-02-02,48,False
2020-02-09,59,False
2020-02-16,62,False
2020-02-23,42,False
2020-03-01,47,False
2020-03-08,29,False
2020-03-15,28,False
2020-03-22,26,False
2020-03-29,24,False
2020-04-05,29,False
2020-04-12,43,False
2020-04-19,46,False
2020-04-26,40,True
