geoName,geoCode,Flamenco
Abruzzo,IT-65,40
Aosta,IT-23,100
Apulia,IT-75,45
Basilicata,IT-77,30
Calabria,IT-78,34
Campania,IT-72,30
Emilia-Romagna,IT-45,38
Friuli-Venezia Giulia,IT-36,24
Lazio,IT-62,51
Liguria,IT-42,38
Lombardy,IT-25,46
Marche,IT-57,27
Molise,IT-67,51
Piedmont,IT-21,40
Sardinia,IT-88,52
Sicily,IT-82,48
Trentino-Alto Adige/South Tyrol,IT-32,16
Tuscany,IT-52,44
Umbria,IT-55,73
Veneto,IT-34,37
