geoName,geoCode,Elektrokamin
Baden-Württemberg,DE-BW,41
Bavaria,DE-BY,36
Berlin,DE-BE,47
Brandenburg,DE-BB,71
Bremen,DE-HB,48
Hamburg,DE-HH,100
Hesse,DE-HE,40
Lower Saxony,DE-NI,51
Mecklenburg-Vorpommern,DE-MV,45
North Rhine-Westphalia,DE-NW,66
Rhineland-Palatinate,DE-RP,69
Saarland,DE-SL,74
Saxony,DE-SN,60
Saxony-Anhalt,DE-ST,61
Schleswig-Holstein,DE-SH,44
Thuringia,DE-TH,88
