geoName,geoCode,Soul
Abruzzo,IT-65,75
Aosta,IT-23,51
Apulia,IT-75,78
Basilicata,IT-77,49
Calabria,IT-78,56
Campania,IT-72,73
Emilia-Romagna,IT-45,93
Friuli-Venezia Giulia,IT-36,79
Lazio,IT-62,85
Liguria,IT-42,80
Lombardy,IT-25,87
Marche,IT-57,82
Molise,IT-67,73
Piedmont,IT-21,100
Sardinia,IT-88,77
Sicily,IT-82,66
Trentino-Alto Adige/South Tyrol,IT-32,72
Tuscany,IT-52,96
Umbria,IT-55,77
Veneto,IT-34,78
