geoName,geoCode,foto bambini
Abruzzo,IT-65,47
Aosta,IT-23,0
Apulia,IT-75,66
Basilicata,IT-77,92
Calabria,IT-78,69
Campania,IT-72,72
Emilia-Romagna,IT-45,47
Friuli-Venezia Giulia,IT-36,42
Lazio,IT-62,64
Liguria,IT-42,46
Lombardy,IT-25,62
Marche,IT-57,50
Molise,IT-67,52
Piedmont,IT-21,60
Sardinia,IT-88,100
Sicily,IT-82,70
Trentino-Alto Adige/South Tyrol,IT-32,48
Tuscany,IT-52,47
Umbria,IT-55,55
Veneto,IT-34,69
