geoName,geoCode,tagli capelli corti
Abruzzo,IT-65,82
Aosta,IT-23,90
Apulia,IT-75,78
Basilicata,IT-77,83
Calabria,IT-78,61
Campania,IT-72,65
Emilia-Romagna,IT-45,63
Friuli-Venezia Giulia,IT-36,44
Lazio,IT-62,50
Liguria,IT-42,77
Lombardy,IT-25,60
Marche,IT-57,57
Molise,IT-67,94
Piedmont,IT-21,100
Sardinia,IT-88,55
Sicily,IT-82,62
Trentino-Alto Adige/South Tyrol,IT-32,85
Tuscany,IT-52,49
Umbria,IT-55,53
Veneto,IT-34,65
