date,Umzugsfirma,isPartial
2018-01-07,83,False
2018-01-14,74,False
2018-01-21,86,False
2018-01-28,82,False
2018-02-04,76,False
2018-02-11,81,False
2018-02-18,84,False
2018-02-25,54,False
2018-03-04,91,False
2018-03-11,63,False
2018-03-18,69,False
2018-03-25,67,False
2018-04-01,71,False
2018-04-08,63,False
2018-04-15,55,False
2018-04-22,73,False
2018-04-29,59,False
2018-05-06,52,False
2018-05-13,58,False
2018-05-20,80,False
2018-05-27,74,False
2018-06-03,77,False
2018-06-10,72,False
2018-06-17,64,False
2018-06-24,59,False
2018-07-01,76,False
2018-07-08,100,False
2018-07-15,95,False
2018-07-22,90,False
2018-07-29,79,False
2018-08-05,58,False
2018-08-12,88,False
2018-08-19,67,False
2018-08-26,94,False
2018-09-02,73,False
2018-09-09,64,False
2018-09-16,80,False
2018-09-23,91,False
2018-09-30,57,False
2018-10-07,98,False
2018-10-14,71,False
2018-10-21,57,False
2018-10-28,64,False
2018-11-04,87,False
2018-11-11,72,False
2018-11-18,64,False
2018-11-25,68,False
2018-12-02,61,False
2018-12-09,69,False
2018-12-16,56,False
2018-12-23,52,False
2018-12-30,73,False
2019-01-06,75,False
2019-01-13,82,False
2019-01-20,69,False
2019-01-27,64,False
2019-02-03,85,False
2019-02-10,65,False
2019-02-17,63,False
2019-02-24,63,False
2019-03-03,72,False
2019-03-10,66,False
2019-03-17,64,False
2019-03-24,49,False
2019-03-31,59,False
2019-04-07,85,False
2019-04-14,31,False
2019-04-21,64,False
2019-04-28,86,False
2019-05-05,57,False
2019-05-12,76,False
2019-05-19,60,False
2019-05-26,53,False
2019-06-02,66,False
2019-06-09,46,False
2019-06-16,84,False
2019-06-23,79,False
2019-06-30,71,False
2019-07-07,75,False
2019-07-14,82,False
2019-07-21,71,False
2019-07-28,55,False
2019-08-04,68,False
2019-08-11,46,False
2019-08-18,69,False
2019-08-25,79,False
2019-09-01,73,False
2019-09-08,74,False
2019-09-15,64,False
2019-09-22,82,False
2019-09-29,76,False
2019-10-06,57,False
2019-10-13,63,False
2019-10-20,70,False
2019-10-27,77,False
2019-11-03,53,False
2019-11-10,59,False
2019-11-17,72,False
2019-11-24,53,False
2019-12-01,59,False
2019-12-08,56,False
2019-12-15,40,False
2019-12-22,49,False
2019-12-29,39,False
2020-01-05,68,False
2020-01-12,77,False
2020-01-19,67,False
2020-01-26,78,False
2020-02-02,78,False
2020-02-09,84,False
2020-02-16,57,False
2020-02-23,74,False
2020-03-01,48,False
2020-03-08,65,False
2020-03-15,72,False
2020-03-22,84,False
2020-03-29,73,False
2020-04-05,38,False
2020-04-12,53,False
2020-04-19,48,False
2020-04-26,57,False
2020-05-03,44,False
2020-05-10,65,False
2020-05-17,65,True
