geoName,geoCode,Location Hochzeit
Baden-Württemberg,DE-BW,63
Bavaria,DE-BY,32
Berlin,DE-BE,46
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,100
Hesse,DE-HE,49
Lower Saxony,DE-NI,20
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,44
Rhineland-Palatinate,DE-RP,23
Saarland,DE-SL,79
Saxony,DE-SN,24
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,72
Thuringia,DE-TH,0
