geoName,geoCode,Schornsteinsanierung
Baden-Württemberg,DE-BW,13
Bavaria,DE-BY,6
Berlin,DE-BE,27
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,9
Lower Saxony,DE-NI,20
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,14
Rhineland-Palatinate,DE-RP,34
Saarland,DE-SL,0
Saxony,DE-SN,42
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,60
Thuringia,DE-TH,100
