geoName,geoCode,Anstrich
Baden-Württemberg,DE-BW,69
Bavaria,DE-BY,58
Berlin,DE-BE,53
Brandenburg,DE-BB,73
Bremen,DE-HB,40
Hamburg,DE-HH,63
Hesse,DE-HE,61
Lower Saxony,DE-NI,69
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,71
Rhineland-Palatinate,DE-RP,72
Saarland,DE-SL,82
Saxony,DE-SN,98
Saxony-Anhalt,DE-ST,79
Schleswig-Holstein,DE-SH,57
Thuringia,DE-TH,51
