geoName,geoCode,Landschaft
Burgenland,AT-1,100
Carinthia,AT-2,32
Lower Austria,AT-3,74
Salzburg,AT-5,65
Styria,AT-6,57
Tyrol,AT-7,55
Upper Austria,AT-4,71
Vienna,AT-9,56
Vorarlberg,AT-8,76
